state,county,zip_code,community_name,slug,community_url
AK,Anchorage,99501,Anchorage (99501),anchorage-99501,https://homesignal.net/community.html?zip=99501
AK,Anchorage,99502,Anchorage (99502),anchorage-99502,https://homesignal.net/community.html?zip=99502
AK,Anchorage,99503,Anchorage (99503),anchorage-99503,https://homesignal.net/community.html?zip=99503
AK,Anchorage,99504,Anchorage (99504),anchorage-99504,https://homesignal.net/community.html?zip=99504
AK,Anchorage,99505,Jber (99505),jber-99505,https://homesignal.net/community.html?zip=99505
AK,Anchorage,99506,Jber (99506),jber-99506,https://homesignal.net/community.html?zip=99506
AK,Anchorage,99507,Anchorage (99507),anchorage-99507,https://homesignal.net/community.html?zip=99507
AK,Anchorage,99508,Anchorage (99508),anchorage-99508,https://homesignal.net/community.html?zip=99508
AK,Anchorage,99513,Anchorage (99513),anchorage-99513,https://homesignal.net/community.html?zip=99513
AK,Anchorage,99515,Anchorage (99515),anchorage-99515,https://homesignal.net/community.html?zip=99515
AK,Anchorage,99516,Anchorage (99516),anchorage-99516,https://homesignal.net/community.html?zip=99516
AK,Anchorage,99517,Anchorage (99517),anchorage-99517,https://homesignal.net/community.html?zip=99517
AK,Anchorage,99518,Anchorage (99518),anchorage-99518,https://homesignal.net/community.html?zip=99518
AK,Anchorage,99530,Anchorage (99530),anchorage-99530,https://homesignal.net/community.html?zip=99530
AK,Anchorage,99540,Indian (99540),indian-99540,https://homesignal.net/community.html?zip=99540
AK,Anchorage,99567,Chugiak (99567),chugiak-99567,https://homesignal.net/community.html?zip=99567
AK,Anchorage,99577,Eagle River (99577),eagle-river-99577,https://homesignal.net/community.html?zip=99577
AK,Anchorage,99587,Girdwood (99587),girdwood-99587,https://homesignal.net/community.html?zip=99587
AK,Bethel,99551,Akiachak (99551),akiachak-99551,https://homesignal.net/community.html?zip=99551
AK,Bethel,99552,Akiak (99552),akiak-99552,https://homesignal.net/community.html?zip=99552
AK,Bethel,99557,Aniak (99557),aniak-99557,https://homesignal.net/community.html?zip=99557
AK,Bethel,99559,Bethel (99559),bethel-99559,https://homesignal.net/community.html?zip=99559
AK,Bethel,99561,Chefornak (99561),chefornak-99561,https://homesignal.net/community.html?zip=99561
AK,Bethel,99575,Crooked Creek (99575),crooked-creek-99575,https://homesignal.net/community.html?zip=99575
AK,Bethel,99578,Eek (99578),eek-99578,https://homesignal.net/community.html?zip=99578
AK,Bethel,99589,Goodnews Bay (99589),goodnews-bay-99589,https://homesignal.net/community.html?zip=99589
AK,Bethel,99607,Kalskag (99607),kalskag-99607,https://homesignal.net/community.html?zip=99607
AK,Bethel,99609,Kasigluk (99609),kasigluk-99609,https://homesignal.net/community.html?zip=99609
AK,Bethel,99614,Kipnuk (99614),kipnuk-99614,https://homesignal.net/community.html?zip=99614
