zip,zip3,page_exists,coverage_state,indexable_now,authoritative_dev,displayed_dev_pairs,displayed_dev_rows,confirmed,display_over_inclusive,display_under_inclusive,facilities,indexable_after_switch,readiness_class,blocker
01001,010,yes,pass,yes,12,41,173,9,32,3,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01002,010,yes,pass,yes,21,15,46,13,2,8,10,yes,A,SITE_WIDE_DELIVERY_ONLY
01003,010,yes,pass,yes,1,21,89,1,20,0,2,yes,A,SITE_WIDE_DELIVERY_ONLY
01004,010,yes,pass,yes,0,21,90,0,21,0,5,yes,C,ZERO_DEV_FACILITIES_ONLY
01005,010,yes,pass,yes,4,6,9,4,2,0,16,yes,A,SITE_WIDE_DELIVERY_ONLY
01007,010,yes,pass,yes,14,9,52,9,0,5,7,yes,A,SITE_WIDE_DELIVERY_ONLY
01008,010,yes,pass,yes,13,11,28,10,1,3,1,yes,A,SITE_WIDE_DELIVERY_ONLY
01009,010,yes,pass,yes,0,24,79,0,24,0,26,yes,C,ZERO_DEV_FACILITIES_ONLY
01010,010,yes,pass,yes,17,17,34,10,7,7,2,yes,A,SITE_WIDE_DELIVERY_ONLY
01011,010,yes,pass,yes,8,13,18,8,5,0,3,yes,A,SITE_WIDE_DELIVERY_ONLY
01012,010,yes,pass,yes,1,7,9,1,6,0,0,yes,A,SITE_WIDE_DELIVERY_ONLY
01013,010,yes,pass,yes,32,83,414,31,52,1,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01014,010,yes,pass,yes,0,84,512,0,84,0,18,yes,C,ZERO_DEV_FACILITIES_ONLY
01020,010,yes,pass,yes,28,78,449,28,50,0,0,yes,A,SITE_WIDE_DELIVERY_ONLY
01021,010,yes,pass,yes,0,84,512,0,84,0,35,yes,C,ZERO_DEV_FACILITIES_ONLY
01022,010,yes,pass,yes,0,49,224,0,49,0,12,yes,C,ZERO_DEV_FACILITIES_ONLY
01026,010,yes,pass,yes,9,7,19,6,1,3,1,yes,A,SITE_WIDE_DELIVERY_ONLY
01027,010,yes,pass,yes,27,37,127,24,13,3,25,yes,A,SITE_WIDE_DELIVERY_ONLY
01028,010,yes,pass,yes,9,9,32,2,7,7,33,yes,A,SITE_WIDE_DELIVERY_ONLY
01029,010,yes,pass,yes,3,6,16,2,4,1,2,yes,A,SITE_WIDE_DELIVERY_ONLY
01030,010,yes,pass,yes,9,20,79,6,14,3,28,yes,A,SITE_WIDE_DELIVERY_ONLY
01031,010,yes,pass,yes,3,6,8,3,3,0,6,yes,A,SITE_WIDE_DELIVERY_ONLY
01032,010,yes,pass,yes,7,16,32,7,9,0,7,yes,A,SITE_WIDE_DELIVERY_ONLY
01033,010,yes,pass,yes,4,9,22,4,5,0,12,yes,A,SITE_WIDE_DELIVERY_ONLY
01034,010,yes,coverage_coming,no,3,0,0,0,0,3,0,no,B,NOT_INDEXABLE_TODAY
01035,010,yes,pass,yes,15,40,155,15,25,0,1,yes,A,SITE_WIDE_DELIVERY_ONLY
01036,010,yes,pass,yes,8,1,1,1,0,7,10,yes,A,SITE_WIDE_DELIVERY_ONLY
01037,010,yes,pass,yes,1,4,6,1,3,0,4,yes,A,SITE_WIDE_DELIVERY_ONLY
01038,010,yes,pass,yes,1,25,72,1,24,0,22,yes,A,SITE_WIDE_DELIVERY_ONLY
01039,010,yes,pass,yes,7,17,25,7,10,0,9,yes,A,SITE_WIDE_DELIVERY_ONLY
01040,010,yes,pass,yes,32,60,392,30,30,2,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01041,010,yes,pass,yes,0,58,384,0,58,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01050,010,yes,pass,yes,11,11,27,10,1,1,4,yes,A,SITE_WIDE_DELIVERY_ONLY
01053,010,yes,pass,yes,6,22,35,6,16,0,10,yes,A,SITE_WIDE_DELIVERY_ONLY
01054,010,no,NO_PAGE,no,1,0,0,0,0,1,0,no,E,NO_PRODUCTION_PAGE
01056,010,yes,pass,yes,10,17,34,9,8,1,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01057,010,yes,pass,yes,17,12,49,9,3,8,19,yes,A,SITE_WIDE_DELIVERY_ONLY
01059,010,yes,pass,yes,0,14,50,0,14,0,23,yes,C,ZERO_DEV_FACILITIES_ONLY
01060,010,yes,pass,yes,34,49,233,34,15,0,18,yes,A,SITE_WIDE_DELIVERY_ONLY
01061,010,yes,pass,yes,0,38,116,0,38,0,26,yes,C,ZERO_DEV_FACILITIES_ONLY
01062,010,yes,pass,yes,12,36,97,12,24,0,27,yes,A,SITE_WIDE_DELIVERY_ONLY
