zip,zip3,acquisition_status,adjudicated,pending,terminal,boundary_placement,placed_by_polygon,legacy_membership,confirmed_legacy,over_inclusion_removed,under_inclusion_added
01001,010,ACQUISITION_UNBLOCKED,41,0,0,COMPLETE,12,41,9,32,3
01002,010,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,21,23,21,2,0
01003,010,ACQUISITION_UNBLOCKED,21,0,0,COMPLETE,1,21,1,20,0
01004,010,ACQUISITION_UNBLOCKED,21,0,0,COMPLETE,0,21,0,21,0
01005,010,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,4,6,4,2,0
01007,010,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,14,14,14,0,0
01008,010,ACQUISITION_UNBLOCKED,11,0,0,COMPLETE,13,12,11,1,2
01009,010,ACQUISITION_UNBLOCKED,24,0,0,COMPLETE,0,24,0,24,0
01010,010,ACQUISITION_UNBLOCKED,17,0,0,COMPLETE,17,24,17,7,0
01011,010,ACQUISITION_UNBLOCKED,13,0,0,COMPLETE,8,13,8,5,0
01012,010,ACQUISITION_UNBLOCKED,7,0,0,COMPLETE,1,7,1,6,0
01013,010,ACQUISITION_UNBLOCKED,83,0,0,COMPLETE,32,84,32,52,0
01014,010,ACQUISITION_UNBLOCKED,84,0,0,COMPLETE,0,84,0,84,0
01020,010,ACQUISITION_UNBLOCKED,78,0,0,COMPLETE,28,78,28,50,0
01021,010,ACQUISITION_UNBLOCKED,84,0,0,COMPLETE,0,84,0,84,0
01022,010,ACQUISITION_UNBLOCKED,49,0,0,COMPLETE,0,49,0,49,0
01026,010,ACQUISITION_UNBLOCKED,7,0,0,COMPLETE,9,9,8,1,1
01027,010,ACQUISITION_UNBLOCKED,37,0,0,COMPLETE,27,40,27,13,0
01028,010,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,9,9,2,7,7
01029,010,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,3,6,2,4,1
01030,010,ACQUISITION_UNBLOCKED,20,0,0,COMPLETE,9,20,6,14,3
01031,010,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,3,6,3,3,0
01032,010,ACQUISITION_UNBLOCKED,16,0,0,COMPLETE,7,16,7,9,0
01033,010,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,4,9,4,5,0
01034,010,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,3,0,0,0,3
01035,010,ACQUISITION_UNBLOCKED,40,0,0,COMPLETE,15,40,15,25,0
01036,010,ACQUISITION_UNBLOCKED,1,0,0,COMPLETE,8,1,1,0,7
01037,010,ACQUISITION_UNBLOCKED,4,0,0,COMPLETE,1,4,1,3,0
01038,010,ACQUISITION_UNBLOCKED,25,0,0,COMPLETE,1,25,1,24,0
01039,010,ACQUISITION_UNBLOCKED,17,0,0,COMPLETE,7,17,7,10,0
01040,010,ACQUISITION_UNBLOCKED,60,0,0,COMPLETE,32,62,32,30,0
01041,010,ACQUISITION_UNBLOCKED,58,0,0,COMPLETE,0,58,0,58,0
01050,010,ACQUISITION_UNBLOCKED,11,0,0,COMPLETE,11,12,11,1,0
01053,010,ACQUISITION_UNBLOCKED,22,0,0,COMPLETE,6,22,6,16,0
01054,010,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,1,0,0,0,1
01056,010,ACQUISITION_UNBLOCKED,17,0,0,COMPLETE,10,18,10,8,0
01057,010,ACQUISITION_UNBLOCKED,12,0,0,COMPLETE,17,13,10,3,7
01059,010,ACQUISITION_UNBLOCKED,14,0,0,COMPLETE,0,14,0,14,0
01060,010,ACQUISITION_UNBLOCKED,49,0,0,COMPLETE,34,49,34,15,0
01061,010,ACQUISITION_UNBLOCKED,38,0,0,COMPLETE,0,38,0,38,0
01062,010,ACQUISITION_UNBLOCKED,36,0,0,COMPLETE,12,36,12,24,0
01063,010,ACQUISITION_UNBLOCKED,48,0,0,COMPLETE,5,48,5,43,0
01066,010,ACQUISITION_UNBLOCKED,14,0,0,COMPLETE,9,14,9,5,0
01068,010,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,1,3,1,2,0
01069,010,ACQUISITION_UNBLOCKED,34,0,0,COMPLETE,35,38,35,3,0
01070,010,ACQUISITION_UNBLOCKED,5,0,0,COMPLETE,1,5,1,4,0
01071,010,ACQUISITION_UNBLOCKED,18,0,0,COMPLETE,14,18,14,4,0
01073,010,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,8,15,8,7,0
01074,010,ACQUISITION_UNBLOCKED,7,0,0,COMPLETE,1,7,1,6,0
01075,010,ACQUISITION_UNBLOCKED,40,0,0,COMPLETE,8,41,8,33,0
01077,010,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,12,9,9,0,3
01079,010,ACQUISITION_UNBLOCKED,32,0,0,COMPLETE,3,32,3,29,0
01080,010,ACQUISITION_UNBLOCKED,35,0,0,COMPLETE,1,35,1,34,0
01081,010,ACQUISITION_UNBLOCKED,5,0,0,COMPLETE,11,5,3,2,8
01082,010,ACQUISITION_UNBLOCKED,11,0,0,COMPLETE,7,11,7,4,0
01083,010,ACQUISITION_UNBLOCKED,20,0,0,COMPLETE,13,20,13,7,0
01084,010,ACQUISITION_UNBLOCKED,7,0,0,COMPLETE,1,7,1,6,0
01085,010,ACQUISITION_UNBLOCKED,29,0,0,COMPLETE,30,30,30,0,0
01086,010,ACQUISITION_UNBLOCKED,18,0,0,COMPLETE,0,18,0,18,0
01088,010,ACQUISITION_UNBLOCKED,26,0,0,COMPLETE,13,26,13,13,0
01089,010,ACQUISITION_UNBLOCKED,73,0,0,COMPLETE,34,74,34,40,0
01090,010,ACQUISITION_UNBLOCKED,84,0,0,COMPLETE,0,84,0,84,0
01092,010,ACQUISITION_UNBLOCKED,22,0,0,COMPLETE,10,22,10,12,0
01093,010,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,2,0,0,0,2
01094,010,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,0,3,0,3,0
01095,010,ACQUISITION_UNBLOCKED,18,0,0,COMPLETE,11,19,11,8,0
01096,010,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,12,16,12,4,0
01097,010,ACQUISITION_UNBLOCKED,18,0,0,COMPLETE,5,18,5,13,0
01098,010,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,3,3,3,0,0
01101,011,ACQUISITION_UNBLOCKED,73,0,0,COMPLETE,0,73,0,73,0
01102,011,ACQUISITION_UNBLOCKED,84,0,0,COMPLETE,0,84,0,84,0
01103,011,ACQUISITION_UNBLOCKED,74,0,0,COMPLETE,11,74,11,63,0
01104,011,ACQUISITION_UNBLOCKED,84,0,0,COMPLETE,26,84,26,58,0
01105,011,ACQUISITION_UNBLOCKED,73,0,0,COMPLETE,11,73,11,62,0
01106,011,ACQUISITION_UNBLOCKED,28,0,0,COMPLETE,33,28,11,17,22
01107,011,ACQUISITION_UNBLOCKED,88,0,0,COMPLETE,13,88,13,75,0
01108,011,ACQUISITION_UNBLOCKED,55,0,0,COMPLETE,9,55,9,46,0
01109,011,ACQUISITION_UNBLOCKED,74,0,0,COMPLETE,14,74,14,60,0
01111,011,ACQUISITION_UNBLOCKED,84,0,0,COMPLETE,0,84,0,84,0
01115,011,ACQUISITION_UNBLOCKED,72,0,0,COMPLETE,0,72,0,72,0
01116,011,ACQUISITION_UNBLOCKED,84,0,0,COMPLETE,0,84,0,84,0
01118,011,ACQUISITION_UNBLOCKED,40,0,0,COMPLETE,4,40,4,36,0
01119,011,ACQUISITION_UNBLOCKED,40,0,0,COMPLETE,6,40,6,34,0
01128,011,ACQUISITION_UNBLOCKED,12,0,0,COMPLETE,1,12,1,11,0
01129,011,ACQUISITION_UNBLOCKED,27,0,0,COMPLETE,5,27,5,22,0
01138,011,ACQUISITION_UNBLOCKED,84,0,0,COMPLETE,0,84,0,84,0
01139,011,ACQUISITION_UNBLOCKED,84,0,0,COMPLETE,0,84,0,84,0
01144,011,ACQUISITION_UNBLOCKED,72,0,0,COMPLETE,0,72,0,72,0
01151,011,ACQUISITION_UNBLOCKED,30,0,0,COMPLETE,3,30,3,27,0
01152,011,ACQUISITION_UNBLOCKED,84,0,0,COMPLETE,0,84,0,84,0
01199,011,ACQUISITION_UNBLOCKED,88,0,0,COMPLETE,0,88,0,88,0
01201,012,ACQUISITION_UNBLOCKED,36,0,0,COMPLETE,37,41,37,4,0
01202,012,ACQUISITION_UNBLOCKED,16,0,0,COMPLETE,0,16,0,16,0
01203,012,ACQUISITION_UNBLOCKED,16,0,0,COMPLETE,0,16,0,16,0
01220,012,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,9,15,9,6,0
01222,012,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,7,6,4,2,3
01223,012,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,18,16,15,1,3
01224,012,ACQUISITION_UNBLOCKED,17,0,0,COMPLETE,4,17,4,13,0
01225,012,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,9,9,9,0,0
01226,012,ACQUISITION_UNBLOCKED,20,0,0,COMPLETE,7,21,7,14,0
01227,012,ACQUISITION_UNBLOCKED,20,0,0,COMPLETE,0,20,0,20,0
01229,012,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,2,15,2,13,0
01230,012,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,27,27,27,0,0
01235,012,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,7,6,6,0,1
01236,012,ACQUISITION_UNBLOCKED,12,0,0,COMPLETE,2,12,2,10,0
01237,012,ACQUISITION_UNBLOCKED,13,0,0,COMPLETE,10,14,10,4,0
01238,012,ACQUISITION_UNBLOCKED,32,0,0,COMPLETE,29,32,29,3,0
01240,012,ACQUISITION_UNBLOCKED,16,0,0,COMPLETE,14,17,14,3,0
01242,012,ACQUISITION_UNBLOCKED,34,0,0,COMPLETE,1,34,1,33,0
01243,012,ACQUISITION_UNBLOCKED,1,0,0,COMPLETE,1,1,1,0,0
01244,012,ACQUISITION_UNBLOCKED,5,0,0,COMPLETE,1,5,1,4,0
01245,012,ACQUISITION_UNBLOCKED,5,0,0,COMPLETE,4,5,4,1,0
01247,012,ACQUISITION_UNBLOCKED,20,0,0,COMPLETE,23,23,22,1,1
01252,012,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,0,6,0,6,0
01253,012,ACQUISITION_UNBLOCKED,8,0,0,COMPLETE,7,8,7,1,0
01254,012,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,2,9,2,7,0
01255,012,ACQUISITION_UNBLOCKED,4,0,0,COMPLETE,8,5,5,0,3
01256,012,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,7,3,3,0,4
01257,012,ACQUISITION_UNBLOCKED,10,0,0,COMPLETE,12,10,9,1,3
01258,012,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,5,4,2,2,3
01259,012,ACQUISITION_UNBLOCKED,7,0,0,COMPLETE,7,7,4,3,3
01260,012,ACQUISITION_UNBLOCKED,32,0,0,COMPLETE,1,32,1,31,0
01262,012,ACQUISITION_UNBLOCKED,20,0,0,COMPLETE,9,20,9,11,0
01263,012,ACQUISITION_UNBLOCKED,16,0,0,COMPLETE,0,16,0,16,0
01264,012,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,2,6,2,4,0
01266,012,ACQUISITION_UNBLOCKED,10,0,0,COMPLETE,9,12,9,3,0
01267,012,ACQUISITION_UNBLOCKED,16,0,0,COMPLETE,15,17,15,2,0
01270,012,ACQUISITION_UNBLOCKED,5,0,0,COMPLETE,4,5,4,1,0
01301,013,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,4,0,0,0,4
01330,013,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,3,0,0,0,3
01331,013,ACQUISITION_UNBLOCKED,19,0,0,COMPLETE,15,19,14,5,1
01337,013,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,3,0,0,0,3
01338,013,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,1,0,0,0,1
01339,013,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,4,0,0,0,4
01340,013,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,2,0,0,0,2
01342,013,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,5,0,0,0,5
01343,013,ACQUISITION_UNBLOCKED,7,0,0,COMPLETE,5,7,5,2,0
01364,013,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,9,0,0,0,9
01366,013,ACQUISITION_UNBLOCKED,2,0,0,COMPLETE,2,2,2,0,0
01367,013,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,1,0,0,0,1
01368,013,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,5,9,5,4,0
01370,013,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,2,0,0,0,2
01373,013,ACQUISITION_UNBLOCKED,0,0,0,COMPLETE,11,0,0,0,11
01420,014,ACQUISITION_UNBLOCKED,28,0,0,COMPLETE,19,29,19,10,0
01430,014,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,2,3,2,1,0
01431,014,ACQUISITION_UNBLOCKED,4,0,0,COMPLETE,3,4,3,1,0
01432,014,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,3,9,3,6,0
01434,014,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,2,9,2,7,0
01436,014,ACQUISITION_UNBLOCKED,14,0,0,COMPLETE,4,14,4,10,0
01438,014,ACQUISITION_UNBLOCKED,20,0,0,COMPLETE,5,20,5,15,0
01440,014,ACQUISITION_UNBLOCKED,22,0,0,COMPLETE,15,22,15,7,0
01441,014,ACQUISITION_UNBLOCKED,12,0,0,COMPLETE,0,12,0,12,0
01450,014,ACQUISITION_UNBLOCKED,2,0,0,COMPLETE,1,2,1,1,0
01451,014,ACQUISITION_UNBLOCKED,11,0,0,COMPLETE,6,11,6,5,0
01452,014,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,6,6,6,0,0
01453,014,ACQUISITION_UNBLOCKED,28,0,0,COMPLETE,23,28,23,5,0
01460,014,ACQUISITION_UNBLOCKED,18,0,0,COMPLETE,14,18,14,4,0
01462,014,ACQUISITION_UNBLOCKED,14,0,0,COMPLETE,5,14,5,9,0
01463,014,ACQUISITION_UNBLOCKED,1,0,0,COMPLETE,1,1,1,0,0
01464,014,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,2,3,2,1,0
01467,014,ACQUISITION_UNBLOCKED,10,0,0,COMPLETE,0,10,0,10,0
01468,014,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,8,10,8,2,0
01469,014,ACQUISITION_UNBLOCKED,2,0,0,COMPLETE,1,2,1,1,0
01470,014,ACQUISITION_UNBLOCKED,2,0,0,COMPLETE,0,2,0,2,0
01471,014,ACQUISITION_UNBLOCKED,2,0,0,COMPLETE,0,2,0,2,0
01472,014,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,0,3,0,3,0
01473,014,ACQUISITION_UNBLOCKED,12,0,0,COMPLETE,13,13,13,0,0
01474,014,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,1,6,1,5,0
01475,014,ACQUISITION_UNBLOCKED,10,0,0,COMPLETE,10,10,10,0,0
01501,015,ACQUISITION_UNBLOCKED,54,0,0,COMPLETE,29,55,29,26,0
01503,015,ACQUISITION_UNBLOCKED,18,0,0,COMPLETE,4,18,4,14,0
01504,015,ACQUISITION_UNBLOCKED,7,0,0,COMPLETE,4,7,4,3,0
01505,015,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,6,15,6,9,0
01506,015,ACQUISITION_UNBLOCKED,13,0,0,COMPLETE,8,13,8,5,0
01507,015,ACQUISITION_UNBLOCKED,18,0,0,COMPLETE,24,25,24,1,0
01508,015,ACQUISITION_UNBLOCKED,22,0,0,COMPLETE,0,22,0,22,0
01509,015,ACQUISITION_UNBLOCKED,21,0,0,COMPLETE,0,21,0,21,0
01510,015,ACQUISITION_UNBLOCKED,8,0,0,COMPLETE,3,8,3,5,0
01515,015,ACQUISITION_UNBLOCKED,12,0,0,COMPLETE,5,12,5,7,0
01516,015,ACQUISITION_UNBLOCKED,7,0,0,COMPLETE,34,8,7,1,27
01518,015,ACQUISITION_UNBLOCKED,29,0,0,COMPLETE,18,29,18,11,0
