zip,geo_status,production_dev_pairs,shadow_dev_pairs,intersection,production_only_refuted,shadow_only_added,points_resolved,missing_descriptive_fields,satisfies_maps_shape
01001,boundary_complete,41,12,9,32,3,12,0,YES
01002,boundary_complete,15,21,13,2,8,21,0,YES
01003,boundary_complete,21,1,1,20,0,1,0,YES
01004,not_measured,21,0,0,,0,0,0,PRESERVES_LEGACY
01005,boundary_complete,6,4,4,2,0,4,0,YES
01007,boundary_complete,9,14,9,0,5,14,0,YES
01008,boundary_complete,11,13,10,1,3,13,0,YES
01009,boundary_complete,24,0,0,24,0,0,0,YES
01010,boundary_complete,17,17,10,7,7,17,0,YES
01011,boundary_complete,13,8,8,5,0,8,0,YES
01012,boundary_complete,7,1,1,6,0,1,0,YES
01013,boundary_complete,83,32,31,52,1,32,0,YES
01014,not_measured,84,0,0,,0,0,0,PRESERVES_LEGACY
01020,boundary_complete,78,28,28,50,0,28,0,YES
01021,not_measured,84,0,0,,0,0,0,PRESERVES_LEGACY
01022,boundary_complete,49,0,0,49,0,0,0,YES
01026,boundary_complete,7,9,6,1,3,9,0,YES
01027,boundary_complete,37,27,24,13,3,27,0,YES
01028,boundary_complete,9,9,2,7,7,9,0,YES
01029,boundary_complete,6,3,2,4,1,3,0,YES
01030,boundary_complete,20,9,6,14,3,9,0,YES
01031,boundary_complete,6,3,3,3,0,3,0,YES
01032,boundary_complete,16,7,7,9,0,7,0,YES
01033,boundary_complete,9,4,4,5,0,4,0,YES
01035,boundary_complete,40,15,15,25,0,15,0,YES
01036,boundary_complete,1,8,1,0,7,8,0,YES
01037,boundary_complete,4,1,1,3,0,1,0,YES
01038,boundary_complete,25,1,1,24,0,1,0,YES
01039,boundary_complete,17,7,7,10,0,7,0,YES
01040,boundary_complete,60,32,30,30,2,32,0,YES
01041,not_measured,58,0,0,,0,0,0,PRESERVES_LEGACY
01050,boundary_complete,11,11,10,1,1,11,0,YES
01053,boundary_complete,22,6,6,16,0,6,0,YES
01056,boundary_complete,17,10,9,8,1,10,0,YES
01057,boundary_complete,12,17,9,3,8,17,0,YES
01059,not_measured,14,0,0,,0,0,0,PRESERVES_LEGACY
01060,boundary_complete,49,34,34,15,0,34,0,YES
01061,not_measured,38,0,0,,0,0,0,PRESERVES_LEGACY
01062,boundary_complete,36,12,12,24,0,12,0,YES
01063,boundary_complete,48,5,5,43,0,5,0,YES
01066,boundary_complete,14,9,9,5,0,9,0,YES
01068,boundary_complete,3,1,1,2,0,1,0,YES
01069,boundary_complete,34,35,31,3,4,35,0,YES
01070,boundary_complete,5,1,1,4,0,1,0,YES
01071,boundary_complete,18,14,14,4,0,14,0,YES
01073,boundary_complete,15,8,8,7,0,8,0,YES
01074,boundary_complete,7,1,1,6,0,1,0,YES
01075,boundary_complete,40,8,7,33,1,8,0,YES
01077,boundary_complete,9,12,9,0,3,12,0,YES
01079,boundary_complete,32,3,3,29,0,3,0,YES
01080,boundary_complete,35,1,1,34,0,1,0,YES
01081,boundary_complete,5,11,3,2,8,11,0,YES
01082,boundary_complete,11,7,7,4,0,7,0,YES
01083,boundary_complete,20,13,13,7,0,13,0,YES
01084,boundary_complete,7,1,1,6,0,1,0,YES
01085,boundary_complete,29,30,29,0,1,30,0,YES
01086,not_measured,18,0,0,,0,0,0,PRESERVES_LEGACY
01088,boundary_complete,26,13,13,13,0,13,0,YES
01089,boundary_complete,73,34,33,40,1,34,0,YES
01090,not_measured,84,0,0,,0,0,0,PRESERVES_LEGACY
01092,boundary_complete,22,10,10,12,0,10,0,YES
01094,boundary_complete,3,0,0,3,0,0,0,YES
01095,boundary_complete,18,11,10,8,1,11,0,YES
01096,boundary_complete,15,12,11,4,1,12,0,YES
01097,boundary_complete,18,5,5,13,0,5,0,YES
01098,boundary_complete,3,3,3,0,0,3,0,YES
01101,not_measured,73,0,0,,0,0,0,PRESERVES_LEGACY
01102,not_measured,84,0,0,,0,0,0,PRESERVES_LEGACY
01103,boundary_complete,74,11,11,63,0,11,0,YES
01104,boundary_complete,84,26,26,58,0,26,0,YES
01105,boundary_complete,73,11,11,62,0,11,0,YES
01106,boundary_complete,28,33,11,17,22,33,0,YES
01107,boundary_complete,88,13,13,75,0,13,0,YES
01108,boundary_complete,55,9,9,46,0,9,0,YES
01109,boundary_complete,74,14,14,60,0,14,0,YES
01111,not_measured,84,0,0,,0,0,0,PRESERVES_LEGACY
01115,not_measured,72,0,0,,0,0,0,PRESERVES_LEGACY
01116,not_measured,84,0,0,,0,0,0,PRESERVES_LEGACY
01118,boundary_complete,40,4,4,36,0,4,0,YES
01119,boundary_complete,40,6,6,34,0,6,0,YES
01128,boundary_complete,12,1,1,11,0,1,0,YES
01129,boundary_complete,27,5,5,22,0,5,0,YES
01138,not_measured,84,0,0,,0,0,0,PRESERVES_LEGACY
01139,not_measured,84,0,0,,0,0,0,PRESERVES_LEGACY
01144,boundary_complete,72,0,0,72,0,0,0,YES
01151,boundary_complete,30,3,3,27,0,3,0,YES
01152,not_measured,84,0,0,,0,0,0,PRESERVES_LEGACY
01199,not_measured,88,0,0,,0,0,0,PRESERVES_LEGACY
01201,boundary_complete,36,37,32,4,5,37,0,YES
01202,not_measured,16,0,0,,0,0,0,PRESERVES_LEGACY
01203,not_measured,16,0,0,,0,0,0,PRESERVES_LEGACY
01220,boundary_complete,15,9,9,6,0,9,0,YES
01222,boundary_complete,6,7,4,2,3,7,0,YES
01223,boundary_complete,6,18,5,1,13,18,0,YES
01224,boundary_complete,17,4,4,13,0,4,0,YES
01225,boundary_complete,9,9,9,0,0,9,0,YES
01226,boundary_complete,20,7,6,14,1,7,0,YES
01227,not_measured,20,0,0,,0,0,0,PRESERVES_LEGACY
01229,boundary_complete,15,2,2,13,0,2,0,YES
01230,boundary_complete,15,27,15,0,12,27,0,YES
01235,boundary_complete,6,7,6,0,1,7,0,YES
