zip3,pages,fully_populated,pct_fully_populated,adjudicated,pending,terminal,placed_by_polygon,boundary_first_probed
010,69,69,100.0,1689,0,0,630,yes
011,22,22,100.0,1434,0,0,0,no
012,37,37,100.0,490,0,0,0,no
013,4,4,100.0,37,0,0,0,no
014,26,26,100.0,260,0,0,0,no
015,51,51,100.0,833,0,0,0,no
016,17,17,100.0,847,0,7593,0,no
017,31,31,100.0,618,0,0,0,no
018,47,47,100.0,1432,0,0,0,no
019,38,38,100.0,751,0,0,0,no
020,38,0,0.0,34,503,0,0,no
021,57,1,1.8,15992,5412,0,4562,yes
022,7,0,0.0,1772,1028,0,0,no
023,44,0,0.0,1,633,0,0,no
024,36,1,2.8,3864,1440,0,0,no
025,18,0,0.0,0,240,0,0,no
026,40,0,0.0,0,443,0,0,no
027,43,0,0.0,4,1032,0,0,no
028,63,63,100.0,2078,0,0,0,no
029,18,18,100.0,2434,0,0,0,no
030,34,0,0.0,0,144,0,0,no
031,7,0,0.0,0,102,0,0,no
032,49,0,0.0,0,112,0,0,no
033,4,0,0.0,0,26,0,0,no
034,19,0,0.0,0,39,0,0,no
035,15,0,0.0,0,41,0,0,no
036,5,0,0.0,0,11,0,0,no
037,20,0,0.0,0,52,0,0,no
038,58,0,0.0,0,202,0,0,no
039,10,0,0.0,0,47,0,0,no
040,49,0,0.0,0,216,0,0,no
041,9,0,0.0,0,165,0,0,no
042,18,0,0.0,0,104,0,0,no
043,19,0,0.0,0,104,0,0,no
044,38,0,0.0,0,154,0,0,no
045,23,0,0.0,0,67,0,0,no
046,23,0,0.0,0,53,0,0,no
047,3,0,0.0,0,7,0,0,no
048,16,0,0.0,0,65,0,0,no
049,25,0,0.0,0,78,0,0,no
050,35,7,20.0,47,60,0,0,no
051,14,4,28.6,51,22,0,0,no
052,7,0,0.0,5,13,0,0,no
053,17,5,29.4,14,20,0,0,no
054,32,4,12.5,15551,194,0,0,no
055,2,2,100.0,56,0,0,0,no
056,30,1,3.3,62,99,0,0,no
057,34,5,14.7,27,71,0,0,no
058,2,0,0.0,2,3,0,0,no
060,61,0,0.0,1316,2774,3,0,no
061,14,0,0.0,561,1791,3866,0,no
062,33,33,100.0,1797,0,0,0,no
063,35,35,100.0,2130,0,0,0,no
064,54,0,0.0,1825,2608,0,0,no
065,12,0,0.0,158,1500,0,0,no
066,10,0,0.0,67,1089,0,0,no
067,38,0,0.0,378,2044,0,0,no
068,25,0,0.0,307,1990,0,0,no
069,6,0,0.0,235,551,0,0,no
070,64,0,0.0,0,169,0,0,no
071,12,0,0.0,0,41,0,0,no
072,7,0,0.0,0,26,0,0,no
073,7,0,0.0,0,10,0,0,no
074,10,0,0.0,0,22,0,0,no
076,28,0,0.0,0,141,0,0,no
077,33,0,0.0,0,98,0,0,no
078,13,0,0.0,0,43,0,0,no
079,21,0,0.0,0,47,0,0,no
085,11,0,0.0,0,25,0,0,no
086,12,0,0.0,0,62,0,0,no
087,17,0,0.0,0,40,0,0,no
088,30,0,0.0,0,89,0,0,no
089,2,0,0.0,0,2,0,0,no
100,52,0,0.0,23659,1026,0,0,no
101,39,0,0.0,1196,599,0,0,no
102,9,0,0.0,194,215,0,0,no
103,13,0,0.0,7028,99,0,0,no
104,25,0,0.0,7677,612,0,0,no
105,63,0,0.0,72,493,0,0,no
106,6,0,0.0,20,108,0,0,no
107,9,0,0.0,37,107,0,0,no
108,4,0,0.0,7,36,0,0,no
109,26,0,0.0,39,168,0,0,no
110,14,0,0.0,487,209,0,0,no
111,7,0,0.0,1996,208,0,0,no
112,44,0,0.0,21141,717,0,0,no
113,27,0,0.0,10334,744,0,0,no
114,23,0,0.0,5840,400,0,0,no
115,38,0,0.0,85,479,0,0,no
116,5,2,40.0,1044,7,0,0,no
117,73,0,0.0,156,1079,0,0,no
118,3,0,0.0,9,74,0,0,no
119,42,0,0.0,6,174,0,0,no
120,18,2,11.1,20,41,0,0,no
121,16,1,6.2,9,43,0,0,no
122,12,0,0.0,44,107,0,0,no
123,5,0,0.0,7,20,0,0,no
124,2,2,100.0,2,0,0,0,no
125,23,0,0.0,8,72,0,0,no
126,3,0,0.0,3,19,0,0,no
128,8,0,0.0,3,25,0,0,no
140,25,7,28.0,34,34,0,0,no
141,11,1,9.1,11,30,0,0,no
142,29,1,3.4,744,282,0,0,no
144,11,1,9.1,10,27,0,0,no
145,12,1,8.3,12,27,0,0,no
146,25,0,0.0,69,161,0,0,no
150,41,0,0.0,713,516,0,0,no
151,28,0,0.0,635,580,0,0,no
152,43,0,0.0,6425,1576,0,0,no
153,2,0,0.0,31,21,0,0,no
156,2,0,0.0,36,18,0,0,no
160,3,0,0.0,14,21,0,0,no
166,3,0,0.0,21,99,0,0,no
168,32,0,0.0,148,7201,0,0,no
170,24,4,16.7,394,126,0,0,no
171,10,0,0.0,236,268,0,0,no
173,36,5,13.9,1756,123,0,0,no
174,7,0,0.0,823,84,0,0,no
175,47,0,0.0,313,232,0,0,no
