zip,lat,lng
01001,42.0702,-72.6227
01002,42.3671,-72.4646
01003,42.3919,-72.5248
01004,42.3845,-72.5132
01005,42.4097,-72.1084
01007,42.2751,-72.411
01008,42.1829,-72.9361
01009,42.2061,-72.3405
01010,42.1165,-72.1885
01011,42.2794,-72.9888
01012,42.3923,-72.8256
01013,42.1487,-72.6079
01014,42.1707,-72.6048
01020,42.1764,-72.5761
01021,42.1707,-72.6048
01022,42.1934,-72.5544
01026,42.4633,-72.9202
01027,42.2668,-72.669
01028,42.0672,-72.5056
01029,42.1909,-73.0517
01030,42.0718,-72.6751
01031,42.3322,-72.1986
01032,42.4404,-72.7995
01033,42.2557,-72.52
01034,42.1127,-72.952
01035,42.3606,-72.5715
01036,42.0648,-72.4318
01037,42.3479,-72.2253
01038,42.3844,-72.6167
01039,42.3818,-72.7032
01040,42.202,-72.6262
01041,42.2043,-72.6162
01050,42.2653,-72.8733
01053,42.3543,-72.7034
01056,42.1728,-72.471
01057,42.101,-72.3196
01059,42.4104,-72.5309
01060,42.3223,-72.6313
01061,42.3696,-72.636
01062,42.3219,-72.6928
01063,42.3179,-72.6402
01066,42.4112,-72.6223
01068,42.348,-72.0513
01069,42.1762,-72.3288
01070,42.5144,-72.9183
01071,42.1471,-72.8403
01073,42.2247,-72.7194
01074,42.3854,-72.0954
01075,42.2375,-72.5811
01077,42.0511,-72.7706
01079,42.1929,-72.3296
01080,42.1819,-72.3624
01081,42.0627,-72.2046
01082,42.2618,-72.2583
01083,42.204,-72.1994
01084,42.3903,-72.8709
01085,42.1251,-72.7495
01086,42.1734,-72.848
01088,42.3906,-72.6469
01089,42.1151,-72.6411
01090,42.1707,-72.6048
01092,42.2029,-72.229
01094,42.3582,-72.1408
01095,42.1245,-72.4464
01096,42.4085,-72.778
01097,42.164,-72.8295
01098,42.3902,-72.9472
01101,42.1015,-72.5898
01102,42.1707,-72.6048
01103,42.1029,-72.5887
01104,42.1288,-72.5778
01105,42.0999,-72.5783
01106,42.0507,-72.5676
01107,42.1179,-72.6065
01108,42.0853,-72.5584
01109,42.1145,-72.5543
01111,42.1707,-72.6048
01115,42.1029,-72.5916
01116,42.1707,-72.6048
01118,42.0929,-72.5274
01119,42.1247,-72.5121
01128,42.0944,-72.4889
01129,42.1223,-72.4876
01138,42.1707,-72.6048
01139,42.1707,-72.6048
01144,42.1018,-72.5915
01151,42.1532,-72.505
01152,42.1707,-72.6048
01199,42.1199,-72.605
01201,42.4531,-73.2471
01202,42.3929,-73.2285
01203,42.3929,-73.2285
01220,42.6223,-73.1172
01222,42.0596,-73.3202
01223,42.3594,-73.1203
01224,42.5126,-73.1929
01225,42.5611,-73.158
01226,42.475,-73.1603
01227,42.4737,-73.1662
01229,42.2793,-73.3435
01230,42.1959,-73.3607
01235,42.4298,-73.0724
01236,42.2653,-73.3745
01237,42.5173,-73.2282
01238,42.299,-73.2317
01240,42.3642,-73.2713
01242,42.3386,-73.2509
01243,42.3561,-73.0104
01244,42.1228,-73.254
01245,42.1867,-73.2065
01247,42.6955,-73.08
01252,42.1986,-73.4462
01253,42.1931,-73.0918
01254,42.3784,-73.3645
01255,42.1094,-73.1163
01256,42.577,-73.0233
01257,42.1001,-73.3611
01258,42.1012,-73.4566
01259,42.078,-73.2609
01260,42.2779,-73.2773
01262,42.301,-73.3223
01263,42.3929,-73.2285
01264,42.22,-73.1979
01266,42.3348,-73.3825
01267,42.7089,-73.2036
01270,42.515,-73.0412
01331,42.5959,-72.2267
01343,42.6427,-72.9862
01366,42.4898,-72.1893
01368,42.6722,-72.1964
01420,42.5796,-71.8031
01430,42.6496,-71.9267
01431,42.6745,-71.8174
01432,42.5591,-71.5788
01434,42.5385,-71.6115
01436,42.5936,-72.0646
01438,42.5631,-72.037
01440,42.574,-71.9898
01441,42.5459,-71.9106
01450,42.6124,-71.5584
01451,42.4986,-71.5753
01452,42.4865,-72.0012
01453,42.5274,-71.7563
01460,42.5401,-71.4877
01462,42.5884,-71.7266
01463,42.6689,-71.5934
01464,42.5734,-71.6483
01467,42.4871,-71.6131
01468,42.546,-72.065
01469,42.6525,-71.6896
01470,42.6112,-71.5745
01471,42.6112,-71.5745
01472,42.6043,-71.6273
01473,42.5483,-71.9096
01474,42.6678,-71.7522
01475,42.6789,-72.0475
01501,42.2055,-71.8391
01503,42.3844,-71.6356
01504,42.0287,-71.5269
01505,42.3377,-71.731
01506,42.1991,-72.0989
01507,42.1379,-71.9664
01508,42.1459,-71.9884
01509,42.1731,-71.9787
01510,42.4181,-71.6828
01515,42.2193,-72.0481
01516,42.0528,-71.7509
01518,42.1228,-72.1178
01519,42.2004,-71.6868
01520,42.342,-71.8414
01521,42.0403,-72.1544
01522,42.3755,-71.8706
01523,42.451,-71.6868
01524,42.237,-71.9188
01525,42.0973,-71.6448
01526,42.0945,-71.7476
01527,42.1968,-71.7644
01529,42.0331,-71.5798
01531,42.3198,-72.1306
01532,42.3182,-71.6464
01534,42.1494,-71.6564
01535,42.2665,-72.0821
01536,42.2297,-71.7037
01537,42.1655,-71.886
01538,42.0876,-71.6412
01540,42.1129,-71.8687
01541,42.4508,-71.8762
01542,42.1997,-71.9069
01543,42.3762,-71.949
01545,42.2848,-71.7205
01546,42.3648,-71.8969
01550,42.075,-72.0353
01560,42.176,-71.6927
01561,42.4435,-71.6861
01562,42.2441,-71.9906
01564,42.4354,-71.7752
01566,42.1126,-72.0842
01568,42.1756,-71.6032
01569,42.0744,-71.6329
01570,42.0521,-71.8486
01571,42.0489,-71.8932
01581,42.2679,-71.6176
01583,42.3584,-71.7838
01585,42.2441,-72.1511
01586,42.1712,-71.8037
01588,42.1153,-71.6644
01590,42.1266,-71.7552
01601,42.2626,-71.8023
01602,42.2703,-71.8417
01603,42.245,-71.838
01604,42.2541,-71.7746
01605,42.2894,-71.7888
01606,42.311,-71.7958
01607,42.2303,-71.7938
01608,42.2624,-71.8003
01609,42.2826,-71.8277
01610,42.2492,-71.8108
01611,42.2373,-71.875
01612,42.3066,-71.9202
01613,42.2933,-71.802
01614,42.2626,-71.8023
01615,42.2626,-71.8023
01653,42.3648,-71.8969
01655,42.3648,-71.8969
01701,42.3007,-71.4255
01702,42.2822,-71.4339
01703,42.4464,-71.4594
01704,42.4464,-71.4594
01705,42.4464,-71.4594
01718,42.4851,-71.4328
01719,42.4914,-71.5177
01720,42.4751,-71.4483
01721,42.2539,-71.4583
01730,42.4843,-71.2768
01731,42.4631,-71.2851
01740,42.4365,-71.6076
01741,42.5286,-71.3519
01742,42.4567,-71.3747
01745,42.2934,-71.5028
01746,42.2026,-71.4361
01747,42.1268,-71.5376
01748,42.219,-71.5302
01749,42.3918,-71.5609
01752,42.3509,-71.5434
01754,42.4321,-71.455
01756,42.0967,-71.5499
01757,42.1511,-71.5274
01760,42.2875,-71.3574
01770,42.2331,-71.3787
01772,42.2939,-71.532
01773,42.4217,-71.3137
01775,42.4308,-71.515
01776,42.3837,-71.4282
01778,42.3486,-71.3588
01784,42.2376,-71.562
01801,42.4829,-71.1574
01803,42.5089,-71.2004
01805,42.5048,-71.1956
01810,42.6496,-71.1565
01812,42.6472,-71.1842
01813,42.4793,-71.1523
01815,42.4793,-71.1523
01821,42.5519,-71.2518
01822,42.5584,-71.2689
01824,42.5911,-71.3556
01825,42.5751,-71.0787
01826,42.6764,-71.3186
01827,42.6739,-71.4952
01830,42.7856,-71.0721
01831,42.7711,-71.1221
01832,42.7792,-71.1095
01833,42.7281,-70.9822
01834,42.753,-71.027
01835,42.7528,-71.0843
01840,42.708,-71.1638
01841,42.7115,-71.167
01842,42.707,-71.1631
01843,42.6911,-71.1605
01844,42.728,-71.181
01845,42.6826,-71.109
01850,42.656,-71.3051
01851,42.6315,-71.3329
01852,42.6344,-71.2983
01853,42.6334,-71.3162
01854,42.6493,-71.3355
01860,42.8346,-71.0047
01862,42.5757,-71.2902
01863,42.6347,-71.3908
01864,42.5819,-71.0947
01865,42.5379,-71.2689
01866,42.5293,-71.2281
01867,42.528,-71.109
01876,42.6028,-71.2232
01879,42.6724,-71.4158
01880,42.5009,-71.0685
01885,42.707,-71.0639
01886,42.5864,-71.4401
01887,42.5581,-71.1723
01888,42.4793,-71.1523
01889,42.5716,-71.1096
01890,42.453,-71.1441
01899,42.6584,-71.137
01901,42.4612,-70.9467
01902,42.4698,-70.942
01903,42.4668,-70.9495
01904,42.4889,-70.9647
01905,42.4694,-70.9728
01906,42.4633,-71.0111
01907,42.4746,-70.9098
01908,42.4261,-70.9277
01910,42.4548,-70.9747
01913,42.8559,-70.9367
01915,42.5608,-70.8759
01921,42.6797,-71.0114
01922,42.7568,-70.9351
01923,42.5694,-70.9425
01929,42.6286,-70.7828
01930,42.6208,-70.6721
01931,42.6159,-70.662
01936,42.6354,-70.8791
01937,42.5862,-70.9745
01938,42.6809,-70.8494
01940,42.5327,-71.0339
01944,42.5796,-70.7674
01945,42.4984,-70.8653
01949,42.5942,-71.013
01950,42.813,-70.8847
01951,42.7553,-70.8496
01952,42.8507,-70.8588
01960,42.5326,-70.9612
01961,42.6354,-70.8791
01965,42.5581,-70.8257
01966,42.658,-70.6194
01969,42.7138,-70.907
01970,42.5151,-70.9003
01971,42.6354,-70.8791
01982,42.6185,-70.8561
01983,42.6415,-70.9488
01984,42.6017,-70.8786
01985,42.7949,-70.9778
02018,42.1745,-70.8837
02019,42.0746,-71.4768
02020,42.0818,-70.6439
02021,42.1645,-71.1355
02025,42.2395,-70.8128
02026,42.2437,-71.1637
02027,42.18,-71.0892
02030,42.2362,-71.2854
02032,42.1532,-71.2179
02035,42.0649,-71.2441
02038,42.0935,-71.4058
02040,42.1793,-70.7495
02041,42.0696,-70.6491
02043,42.2245,-70.8911
02044,42.2418,-70.8898
02045,42.2853,-70.8754
02047,42.1428,-70.6935
02048,42.0212,-71.2178
02050,42.1062,-70.6993
02051,42.1512,-70.7341
02052,42.1845,-71.3048
02053,42.1514,-71.4217
02054,42.1669,-71.3607
02055,42.2404,-70.762
02056,42.1177,-71.3269
02059,42.1432,-70.7703
02060,42.219,-70.7856
02061,42.1596,-70.8217
02062,42.1868,-71.2033
02065,42.0972,-70.6516
02066,42.2032,-70.7525
02067,42.1094,-71.1759
02070,42.0348,-71.387
02071,42.0992,-71.2752
02072,42.1253,-71.1074
02081,42.1444,-71.2544
02090,42.2148,-71.2104
02093,42.0617,-71.3396
02108,42.3576,-71.0684
02109,42.36,-71.0545
02110,42.3576,-71.0514
02111,42.3503,-71.0629
02113,42.3657,-71.056
02114,42.3611,-71.0682
02115,42.3427,-71.0922
02116,42.3492,-71.0768
02118,42.3362,-71.0729
02119,42.3251,-71.0953
02120,42.3307,-71.0912
02121,42.2973,-71.0745
02122,42.2973,-71.0745
02124,42.2918,-71.0717
02125,42.2973,-71.0745
02126,42.2739,-71.0939
02127,42.3347,-71.0375
02128,42.3642,-71.0257
02129,42.3778,-71.0627
02130,42.3126,-71.1115
02131,42.2836,-71.1295
02132,42.2787,-71.1589
02133,42.3584,-71.0598
02134,42.3535,-71.1329
02135,42.3478,-71.1566
02136,42.254,-71.1261
02138,42.377,-71.1256
02139,42.3647,-71.1042
02140,42.3932,-71.1338
02141,42.3687,-71.0836
02142,42.362,-71.083
02143,42.3829,-71.1028
02144,42.4003,-71.1221
02145,42.3907,-71.0929
02148,42.4291,-71.0605
02149,42.4112,-71.0514
02150,42.3963,-71.0325
02151,42.4138,-71.0052
02152,42.3763,-70.98
02153,42.4184,-71.1062
02155,42.4173,-71.1087
02156,42.4223,-71.1328
02163,42.3253,-71.1122
02169,42.2491,-70.9978
02170,42.2671,-71.0186
02171,42.2825,-71.0241
02176,42.4581,-71.0632
02180,42.4828,-71.0978
02184,42.2093,-70.9963
02185,42.18,-71.0892
02186,42.2537,-71.0771
02187,42.2668,-71.0717
02188,42.2113,-70.9582
02189,42.214,-70.9203
02190,42.1751,-70.9495
02191,42.2459,-70.9467
02199,42.3479,-71.0825
02203,42.3615,-71.0604
02210,42.3489,-71.0465
02212,42.3584,-71.0598
02215,42.3471,-71.1027
02222,42.3644,-71.0633
02238,42.3751,-71.1056
02269,42.2529,-71.0023
02301,42.0794,-71.04
02302,42.0847,-71.0002
02303,42.0834,-71.0184
